Posição,Código INEP,Escola,Estado,Cidade,Dependência administrativa,Localização,Alunos,CH,CN,LC,MT,RD,Média
17417,25098632,ECI IZAURA FALCAO DE CARVALHO,Paraíba,Lucena,Estadual,Urbana,59,465.69,432.53,459.97,446.71,495.59,460.1
17426,25058991,EEEFM PEDRO RIBEIRO DE LIMA,Paraíba,Riachão,Estadual,Urbana,10,442.08,407.5,469.46,415.11,566,460.03
17429,25012940,EEEFM JOSE NILSON SANTIAGO,Paraíba,Poço Dantas,Estadual,Urbana,13,460.89,406.34,460.54,455.37,516.92,460.01
17536,25124277,ECITE SEVERINO DIAS DE OLIVEIRA - MESTRE SIVUCA,Paraíba,João Pessoa,Estadual,Urbana,39,461.73,435.98,490.44,471.18,435.9,459.04
17567,25054490,EEEFM CEL SERVELIANO DE FARIAS CASTRO,Paraíba,Caraúbas,Estadual,Urbana,29,441.99,429.74,461.21,451.37,509.66,458.79
17582,25069675,EEEFM MAJOR ANTONIO DE AQUINO,Paraíba,Mulungu,Estadual,Urbana,29,452.37,443.21,480.03,462.01,455.86,458.69
17587,25068709,EEEF JOHN KENNEDY,Paraíba,Guarabira,Estadual,Urbana,75,452.77,430.12,478.7,459.19,472.53,458.66
17598,25120670,EEEFM MAJOR VENEZIANO VITAL DO REGO,Paraíba,Campina Grande,Estadual,Urbana,77,454.45,434.42,468.19,461.85,474.03,458.59
17632,25099507,ENEEFM ANISIO PEREIRA BORGES,Paraíba,Santa Rita,Estadual,Urbana,41,454.96,419.09,488.01,448.49,480.49,458.21
17633,25087738,EEEFM PEDRO POTI,Paraíba,Mataraca,Estadual,Urbana,17,457.92,427.18,472.99,456.46,476.47,458.2
17635,25025368,EEEFM PROF¬ MARGARIDA REMIGIO LOUREIRO,Paraíba,Emas,Estadual,Urbana,21,474.4,437.74,461.54,451.58,465.71,458.2
17652,25091603,EEEFM PEDRO AMERICO,Paraíba,Cabedelo,Estadual,Urbana,43,458.98,428.53,483.74,464.4,454.42,458.01
17727,25001906,EEEIEF JOAO SUASSUNA,Paraíba,Catolé do Rocha,Estadual,Urbana,42,444.17,427.48,458.65,475.81,480.95,457.41
17731,25093894,EEEM PROF PEDRO AUGUSTO PORTO CAMINHA,Paraíba,João Pessoa,Estadual,Urbana,21,447.94,426.66,477.44,442.46,492.38,457.38
17764,25017438,EEEFM ANTONIO GREGORIO DE LACERDA,Paraíba,São José da Lagoa Tapada,Estadual,Urbana,28,438.81,430.79,459.24,447.11,509.29,457.05
17769,25123203,ECI FRANCISCO MARQUES DE MELO,Paraíba,Damião,Estadual,Urbana,34,436.11,444.2,462.72,479.64,462.35,457
17798,25053728,EEEFM JUAREZ MARACAJA,Paraíba,Gurjão,Estadual,Urbana,25,448.97,434.07,454.46,446.18,500,456.74
17799,25066013,EEEFM ANTONIO BENTO,Paraíba,Serraria,Estadual,Urbana,22,443.94,426.53,468.22,444.05,500.91,456.73
17805,25091611,EEEFM PROFESSOR PEDRO ANIBAL MOURA,Paraíba,Cabedelo,Estadual,Urbana,39,437.75,431.23,482.61,459.37,472.31,456.65
17818,25016164,ECIT CICERO SEVERO LOPES,Paraíba,São Domingos,Estadual,Urbana,13,468.18,444.94,497.05,457.25,415.38,456.56
17885,25068075,ECI SAGRADO CORACAO DE JESUS,Paraíba,Duas Estradas,Estadual,Urbana,23,457.54,424.83,478.58,435.79,482.61,455.87
17916,25099124,EEEFM FRANCISCO LEOCADIO RIBEIRO COUTINHO,Paraíba,Santa Rita,Estadual,Urbana,16,446.54,435.91,465.77,451.21,478.75,455.64
17951,25099159,ECIT ENEAS CARVALHO,Paraíba,Santa Rita,Estadual,Urbana,94,460,431.91,471.52,454.75,458.09,455.25
17984,25004875,ENE MIN JOSE AMERICO DE ALMEIDA,Paraíba,São João do Rio do Peixe,Estadual,Urbana,15,453.13,444.35,479.44,450.85,446.67,454.89
18024,25020854,ECIT EST DOUTOR DIONISIO DA COSTA,Paraíba,Patos,Estadual,Urbana,16,462.64,414.84,477.06,482.26,435,454.36
18045,25088530,EEEFM DEP FERNANDO MILANEZ,Paraíba,Cruz do Espírito Santo,Estadual,Urbana,27,461.03,417.09,468,433.54,491.11,454.15
18050,25104071,NUCLEO DE EDUCACAO DE JOVENS E ADULTOS DO ENSINO MEDIO,Paraíba,João Pessoa,Estadual,Urbana,20,466,422.7,489.44,429.45,463,454.12
18054,25000640,ECI JOSE OLIMPIO MAIA,Paraíba,Brejo do Cruz,Estadual,Urbana,28,431.03,426.28,450.96,461.34,500.71,454.06
18080,25075918,EEEFM TEODOSIO DE OLIVEIRA LEDO,Paraíba,Boa Vista,Estadual,Urbana,34,456.61,425.77,462.93,446.99,476.47,453.75
18104,25031783,EEEFM PRESIDENTE KENNEDY,Paraíba,Santana de Mangueira,Estadual,Urbana,10,463.37,409.45,460.51,467.81,466,453.43
18111,25014412,EEEM NESTORINA ABRANTES,Paraíba,Lastro,Estadual,Urbana,23,443.51,412.48,464.49,452.26,493.91,453.33
