Posição,Código INEP,Escola,Estado,Cidade,Dependência administrativa,Localização,Alunos,CH,CN,LC,MT,RD,Média
9366,25062220,EEEFM MONS JOSE BORGES,Paraíba,São Sebastião de Lagoa de Roça,Estadual,Urbana,65,487.81,462.84,492.82,480.93,606.77,506.23
9427,25114484,ECIT JOAO ROBERTO BORGES DE SOUZA,Paraíba,João Pessoa,Estadual,Urbana,33,495.44,454.71,522.44,499.46,557.58,505.92
9475,25068725,EEEF PROFESSOR EDGARDO JULIO,Paraíba,Guarabira,Estadual,Urbana,20,478.11,456.26,492.89,497.83,603,505.62
9488,25152815,EEEFM ISABEL RODRIGUES DE MELO,Paraíba,Campina Grande,Estadual,Rural,24,487.97,462.1,501.64,480.22,595.83,505.55
9544,25072110,ECI FELIX ARAUJO,Paraíba,Campina Grande,Estadual,Urbana,65,492.86,468.32,503.56,504.28,557.23,505.25
9619,25020927,ESCOLA CIDADA INTEGRAL AUZANIR LACERDA,Paraíba,Patos,Estadual,Urbana,75,493.92,455.63,514.49,509.09,550.67,504.76
9684,25003054,EEEFM FREI BRUNO,Paraíba,Lagoa,Estadual,Urbana,22,492.87,451.53,509.35,509.44,559.09,504.46
9824,25094726,EEEFM PROF CELESTIN MALZAC,Paraíba,João Pessoa,Estadual,Urbana,80,478.16,448.15,509.95,485.93,596,503.64
9848,25093959,ECIT OLIVINA OLIVIA CARNEIRO DA CUNHA,Paraíba,João Pessoa,Estadual,Urbana,88,479.62,457.71,514.32,488.91,577.05,503.52
9890,25024558,ECITE ADVOGADO NOBEL VITA,Paraíba,Coremas,Estadual,Urbana,88,470.18,454.17,483.17,516.68,592.27,503.29
9893,25051598,ECI PROF MARIA CECILIA DE CASTRO,Paraíba,Alcantil,Estadual,Urbana,30,477.93,446.36,486.42,497.72,608,503.29
9898,25072412,ECIEEM ESCRITOR VIRGINIUS DA GAMA E MELO,Paraíba,Campina Grande,Estadual,Urbana,58,488.11,446.78,503.63,487.78,590,503.26
9901,25053493,EEEFM FRANCISCO DEODATO DO NASCIMENTO,Paraíba,São Domingos do Cariri,Estadual,Urbana,10,497.38,460.38,515.06,493.44,550,503.25
9958,25078550,ECIT PLINIO LEMOS,Paraíba,Puxinanã,Estadual,Urbana,17,473.4,413.56,492.6,502,632.94,502.9
10065,25094661,EEEF PEDRO LINS VIEIRA DE MELO,Paraíba,João Pessoa,Estadual,Urbana,59,485.87,458.91,517.34,487.31,562.37,502.36
10127,25118358,EEEFM DEPUTADO PEDRO PASCOAL DE OLIVEIRA,Paraíba,Juazeirinho,Estadual,Urbana,17,487.51,432.45,493.94,455.22,641.18,502.06
10389,25072218,EEEFM CLEMENTINO PROCOPIO,Paraíba,Campina Grande,Estadual,Urbana,50,490.8,440.11,504.89,473.2,594.4,500.68
10425,25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO,Paraíba,Campina Grande,Estadual,Urbana,107,487.8,457.02,502.19,484.05,571.4,500.49
10449,25130269,ECIT ITAPORANGA,Paraíba,Itaporanga,Estadual,Urbana,32,498.53,468.39,497.93,478.03,558.75,500.33
10462,25064126,EEEIEFM CARLOTA BARREIRA,Paraíba,Areia,Estadual,Urbana,79,480.4,443.32,488.33,481.91,607.34,500.26
10569,25095056,ECIT OSWALDO PESSOA,Paraíba,João Pessoa,Estadual,Urbana,128,485.07,460.71,497.41,474.17,581.41,499.75
10601,25064800,UFPB - COLEGIO AGRICOLA VIDAL DE NEGREIROS DA UFPB,Paraíba,Bananeiras,Federal,Rural,43,471.92,482.17,507.25,489.03,547.44,499.56
10606,25069357,EEEFM IVAN BICHARA SOBREIRA,Paraíba,Lagoa de Dentro,Estadual,Urbana,32,465.64,450.57,512.06,490.04,579.38,499.54
10615,25041525,ECITE MARECHAL ALMEIDA BARRETO,Paraíba,Juazeirinho,Estadual,Urbana,63,488.74,446.09,490.66,479.65,592.38,499.5
10646,25083490,ECI DEP CARLOS PESSOA FILHO,Paraíba,Aroeiras,Estadual,Urbana,66,480.84,429.73,491.68,482.35,611.82,499.28
10647,25055836,EEEFM ORLANDO VENANCIO DOS SANTOS,Paraíba,Cuité,Estadual,Urbana,98,480.78,453.81,496.5,488.37,576.94,499.28
10655,25095013,EEEF PROFESSORA ANTONIA RANGEL DE FARIAS,Paraíba,João Pessoa,Estadual,Urbana,74,480.66,455.19,495.84,489.16,575.41,499.25
10669,25086316,ECIEEFM ALZIRA LISBOA,Paraíba,Jacaraú,Estadual,Urbana,75,489.01,444.39,500.28,498.91,563.47,499.21
10717,25060376,ECI ALFREDO PESSOA DE LIMA,Paraíba,Solânea,Estadual,Urbana,51,476.3,443.57,487.71,482.98,604.31,498.97
10779,25002457,EEEFM JOSE SERAFIM DE LIMA,Paraíba,Mato Grosso,Estadual,Urbana,12,468.64,434.87,480.42,479.58,630,498.7
10787,25060058,EEEFM GOVERNADOR CLOVIS BEZERRA CAVALCANTI,Paraíba,Dona Inês,Estadual,Urbana,31,475.55,444.05,499.21,484.89,589.68,498.68
10861,25094130,ECI HORACIO DE ALMEIDA,Paraíba,João Pessoa,Estadual,Urbana,67,487.58,448.98,510.72,489.54,554.63,498.29
10878,25051580,ECITE CONSELHEIRO JOSE BRAZ DO REGO,Paraíba,Boqueirão,Estadual,Urbana,38,485.81,443.7,498.41,474.98,587.89,498.16
10911,25034839,ECI ARLINDA PESSOA DA SILVA,Paraíba,Juru,Estadual,Rural,26,489.93,456.64,504.79,506.43,532.31,498.02
10956,25037226,EEEFM ADRIANO FEITOSA,Paraíba,Tavares,Estadual,Urbana,69,482.97,453.9,506.17,499.67,546.38,497.82
11076,25072005,EEEFM ADEMAR VELOSO SILVEIRA,Paraíba,Campina Grande,Estadual,Urbana,91,482.45,454.63,503.34,473.29,572.75,497.29
11138,25060996,EEEFM DR TERCILIO TEIXEIRA DA CRUZ,Paraíba,Tacima,Estadual,Urbana,16,474.38,452.22,498.42,474.75,585,496.95
11147,25020986,EEEF RIO BRANCO,Paraíba,Patos,Estadual,Urbana,58,475.05,453.48,500.72,484.63,570.69,496.91
11191,25014951,EEEFM FRANCISCO AUGUSTO CAMPOS,Paraíba,Nazarezinho,Estadual,Urbana,20,499.39,432.78,510.18,500.16,541,496.7
11246,25096702,ESCOLA CIDADA INTEGRAL ESTADUAL PROFESSORA MARIA DO CARMO DE MIRANDA,Paraíba,João Pessoa,Estadual,Urbana,42,491.93,433.26,507.79,472.51,576.67,496.43
11304,25013840,EEEFM DR TRAJANO PIRES DA NOBREGA,Paraíba,Condado,Estadual,Urbana,42,477.69,438.17,488.62,482.23,593.81,496.1
11378,25038478,ECIT EZEQUIEL FERNANDES,Paraíba,Junco do Seridó,Estadual,Urbana,46,474.94,456.41,501.95,482.6,562.61,495.7
11403,25018582,ENE JOSE DE PAIVA GADELHA,Paraíba,Sousa,Estadual,Urbana,155,470.41,441.8,490.41,495.81,579.35,495.56
11458,25114808,ECI PROFESSOR ITAN PEREIRA,Paraíba,Campina Grande,Estadual,Urbana,75,474.67,461.51,489.47,474.8,576,495.29
11475,25097725,INSTITUTO DE EDUCACAO DA PARAIBA - IEP,Paraíba,João Pessoa,Estadual,Urbana,231,481.47,445.76,503.6,493.74,551.43,495.2
11520,25067460,EEEFM PROF MARIA GERTRUDES DE CARVALHO NEVES,Paraíba,Caiçara,Estadual,Urbana,29,470.91,443.51,484.24,474.3,602.07,495.01
11609,25019597,EEEFM DORGIVAL SILVEIRA,Paraíba,São Francisco,Estadual,Urbana,23,492.19,447.63,497.5,471.99,563.48,494.55
11620,25117866,EEEFM POETISA VICENTINA FIGUEIREDO VITAL DO REGO,Paraíba,Campina Grande,Estadual,Urbana,53,471.53,455.14,490.22,471.41,584.15,494.49
11710,25072129,EEEFM SAO SEBASTIAO,Paraíba,Campina Grande,Estadual,Urbana,33,481.01,440.91,488.31,463.24,596.97,494.09
11838,25077147,EEEFM JOANA EMILIA DA SILVA,Paraíba,Fagundes,Estadual,Urbana,66,471.99,440.79,480.41,471.04,602.73,493.39
11844,25080849,EEEFM LUIZ GONZAGA BURITY,Paraíba,Ingá,Estadual,Urbana,64,467.48,446.65,491.96,498.55,562.19,493.37
11876,25042661,ECI GRACILIANO FONTINI LORDAO,Paraíba,Pedra Lavrada,Estadual,Urbana,48,480.98,439.81,494.55,484.91,565.83,493.22
11906,25020749,COMPLEXO EDUCACIONAL PATOENSE LTDA,Paraíba,Patos,Privada,Urbana,11,438.74,456.3,498.35,504.62,567.27,493.05
11952,25076400,EEEFM PROF ANTONIO OLIVEIRA,Paraíba,Campina Grande,Estadual,Urbana,40,483.61,439.47,495.44,466.75,579,492.85
11972,25045059,ECI JOAO LELYS,Paraíba,Livramento,Estadual,Urbana,48,488.55,439.07,499.26,474.58,562.08,492.71
12033,25126415,EEEFM TEREZA ALVES DE MOURA,Paraíba,Queimadas,Estadual,Rural,23,496.06,454.39,496.95,476.19,538.26,492.37
12035,25094262,EEEF PROFESSOR JOAO JOSE DA COSTA,Paraíba,João Pessoa,Estadual,Urbana,41,479.74,447.55,497.48,480.49,556.59,492.37
12100,25061739,EEEFM IRINEU JOFFILY,Paraíba,Esperança,Estadual,Urbana,65,461.32,443.37,485.16,487.17,583.08,492.02
12260,25072080,EEEFM NINA ALVES DE LIMA,Paraíba,Campina Grande,Estadual,Urbana,11,476.25,468.55,503.52,454.76,552.73,491.16
12289,25072137,ECIT PROF ANESIO LEAO,Paraíba,Campina Grande,Estadual,Urbana,12,459.32,424.78,477.17,486.98,606.67,490.98
12313,25056581,EEEFM JOSE VITORINO DE MEDEIROS,Paraíba,Sossêgo,Estadual,Urbana,31,484.07,449.29,485.1,488.87,547.1,490.89
12327,25006223,EEEFM MONSENHOR MORAIS,Paraíba,Bonito de Santa Fé,Estadual,Urbana,36,483.52,449.83,495.43,479.19,546.11,490.82
12344,25090135,ENE CASSIANO RIBEIRO COUTINHO,Paraíba,Sapé,Estadual,Urbana,55,474.96,446.15,494.31,487.75,550.55,490.74
12363,25048880,EEEFM SENADOR JOSE GAUDENCIO,Paraíba,Serra Branca,Estadual,Urbana,80,477.56,456.84,487.52,480.17,551.25,490.67
12427,25066676,ECI FRANCISCO PESSOA DE BRITO,Paraíba,Araçagi,Estadual,Urbana,41,460.18,435.39,485.82,467.07,603.41,490.37
12500,25014226,EEEFM MANOEL MEDEIROS DE ARAUJO,Paraíba,Vista Serrana,Estadual,Urbana,27,479.99,445.74,482.07,513.47,528.89,490.03
12538,25018060,EEEFM IZIDRA PACIFICO DE ARAUJO,Paraíba,Sousa,Estadual,Rural,12,448.47,425.08,490.16,478.94,606.67,489.87
12547,25050486,EEEF E EJA FELIX DALTRO,Paraíba,Taperoá,Estadual,Urbana,24,466.63,426.12,486.13,486,584.17,489.81
12599,25047450,EEEFM BARTOLOMEU MARACAJA,Paraíba,São José dos Cordeiros,Estadual,Urbana,13,471.23,435.48,503.25,474.75,563.08,489.56
12672,25068636,ECI JOSE SOARES DE CARVALHO,Paraíba,Guarabira,Estadual,Urbana,126,466.43,440.58,488.53,479.04,571.59,489.23
12695,25040600,EEEM PROF¦ ODILON DE FIGUEIREDO,Paraíba,Várzea,Estadual,Urbana,12,490.95,447.52,507.55,496.17,503.33,489.11
12712,25018094,EEEFM DR JOSE GADELHA,Paraíba,Aparecida,Estadual,Urbana,21,469.17,442.76,481.85,493.16,558.1,489.01
12713,25052497,EEEFM ALM ANTONIO HERACLITO DO REGO,Paraíba,Barra de Santana,Estadual,Urbana,33,461.17,434.04,487.48,475.64,586.67,489
12723,25007904,EEEFM MONS CONSTANTINO VIEIRA,Paraíba,Cajazeiras,Estadual,Urbana,136,465.22,440.75,485.17,484.4,569.12,488.93
12915,25087860,ECI LUIZ GONZAGA BURITY,Paraíba,Rio Tinto,Estadual,Urbana,33,475.36,428.07,487.35,469.67,579.39,487.97
12978,25020960,EEEF CORIOLANO DE MEDEIROS,Paraíba,Patos,Estadual,Urbana,50,471.93,447.44,484.54,491.99,542.4,487.66
13057,25127977,ECIT VALE DO MAMANGUAPE JOAO DA MATA CAVALCANTI DE ALBUQUERQUE,Paraíba,Mamanguape,Estadual,Urbana,124,476.57,446.35,503.96,468.99,540.48,487.27
13093,25086049,E C I E E F M SEVERINO FELIX DE BRITO,Paraíba,Itapororoca,Estadual,Urbana,25,485.07,431.71,499.8,489.23,529.6,487.08
13094,25009192,EEEFM JOEL PEREIRA DA SILVA,Paraíba,Carrapateira,Estadual,Urbana,20,463.18,427.25,470.72,481.2,593,487.07
13104,25063340,EEEFM MONSENHOR JOSE BORGES DE CARVALHO,Paraíba,Alagoa Nova,Estadual,Urbana,90,486.46,447.78,487.55,475.36,538,487.03
13203,25057820,ECI JOSE BRONZEADO SOBRINHO,Paraíba,Remígio,Estadual,Urbana,63,469.9,440.45,485.06,462.69,574.6,486.54
13235,25094114,ECIT ALICE CARNEIRO,Paraíba,João Pessoa,Estadual,Urbana,44,483.19,454.67,502.54,480.32,510.91,486.33
13247,25093878,EEEM CON LUIZ GONZAGA DE OLIVEIRA,Paraíba,João Pessoa,Estadual,Urbana,103,480.64,451.06,502.3,475.96,521.36,486.26
13298,25018272,EEEFM PROF¬ DIONE DINIZ OLIVEIRA DIAS,Paraíba,Sousa,Estadual,Rural,14,465.23,441.34,472.94,486.09,564.29,485.98
13360,25029789,ECI ADILINA DE SOUZA DINIZ,Paraíba,Diamante,Estadual,Urbana,55,466.93,433.88,471.82,511.81,544,485.69
13384,25114433,EEEF SENADOR HUMBERTO LUCENA,Paraíba,Campina Grande,Estadual,Urbana,74,479.02,444.62,491.29,477.03,535.95,485.58
13395,25049372,EEEIFM MANOEL HONORATO SOBRINHO,Paraíba,Coxixola,Estadual,Urbana,12,503.63,458.29,518.81,515.25,431.67,485.53
13415,25038796,EEEM FENELON NOBREGA,Paraíba,Salgadinho,Estadual,Urbana,14,475.91,453.84,480.51,445.31,571.43,485.4
13422,25091549,ECI JOSE GUEDES CAVALCANTE,Paraíba,Cabedelo,Estadual,Urbana,60,483.64,443.61,509.27,476.9,513.33,485.35
13446,25058975,ECI BENJAMIN MARANHAO,Paraíba,Araruna,Estadual,Urbana,56,479.49,439.34,478.54,481.93,546.79,485.22
13477,25014692,EEEFM DR ANTONIO F MEDEIROS,Paraíba,Malta,Estadual,Urbana,21,454.82,438.3,483.77,479,569.52,485.08
13538,25018639,EEEF DR THOMAZ PIRES,Paraíba,Sousa,Estadual,Urbana,22,452.99,434.73,477.68,485.93,572.73,484.81
13571,25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,Paraíba,Campina Grande,Estadual,Urbana,30,476.52,441.2,503.6,458.61,543.33,484.65
13605,25120778,EEIEFM PEDRO POTI,Paraíba,Baía da Traição,Estadual,Rural,23,474.17,423.46,464.32,462.09,598.26,484.46
13638,25019228,EEEFM ANTONIO TEODORO NETO,Paraíba,Sousa,Estadual,Urbana,11,468.66,424.03,504.71,474.93,549.09,484.28
13696,25090909,ECIEEFM IRINEU PINTO,Paraíba,Bayeux,Estadual,Urbana,49,461.07,439.94,491.06,454.61,573.06,483.95
13793,25065025,ENE PROF PEDRO A DE ALMEIDA,Paraíba,Bananeiras,Estadual,Urbana,60,463.99,437.25,492.68,471.56,551,483.3
13824,25048775,EEEFM MARIA BALBINA PEREIRA,Paraíba,Serra Branca,Estadual,Urbana,10,471.25,438.69,492.74,491.19,522,483.17
13828,25086928,EEEF PROFESSOR LUIZ APRIGIO,Paraíba,Mamanguape,Estadual,Urbana,38,464.8,450.92,474.79,484.77,540.53,483.16
13831,25084445,EEEFM JOAO DA SILVA MONTEIRO,Paraíba,Gado Bravo,Estadual,Urbana,28,474.99,436.42,489.18,475.05,540,483.13
13941,25024175,EEEFM INACIO DA CATINGUEIRA,Paraíba,Catingueira,Estadual,Urbana,27,466.27,447.05,489.99,495.26,514.07,482.53
13991,25092898,EEEFM DE EJA PROF GERALDO LAFAYETTE BEZERRA,Paraíba,João Pessoa,Estadual,Urbana,27,473.23,444.34,509.65,490.04,494.07,482.27
14012,25020102,EEEFM FRANCISCO ROMANO DA SILVEIRA,Paraíba,Mãe D`Água,Estadual,Urbana,15,486.79,433.15,482.91,477.49,530.67,482.2
14079,25057839,EEEFM DR CUNHA LIMA,Paraíba,Remígio,Estadual,Urbana,44,458.33,439.41,489.8,456.57,565,481.82
14095,25009931,ECI ELAINE SOARES BRASILEIRO,Paraíba,Santa Helena,Estadual,Urbana,30,471.76,436.86,491.86,462.16,546,481.73
14112,25089838,EEEFM RIACHAO DO POCO,Paraíba,Riachão do Poço,Estadual,Urbana,15,465.77,439.05,481.48,448.56,573.33,481.64
14119,25094750,ECI OLIVIO PINTO,Paraíba,João Pessoa,Estadual,Urbana,32,460.31,437.51,489.07,460.52,560.63,481.61
14186,25062069,ECI MARIA JOSE DE SOUZA,Paraíba,Montadas,Estadual,Urbana,29,472.44,432.61,476.21,471.53,553.1,481.18
14197,25126180,ECI LINDUARTE NORONHA,Paraíba,João Pessoa,Estadual,Urbana,21,484.82,446.1,504.05,482.09,488.57,481.13
14217,25022652,EEEFM JOSE AMERICO DE ALMEIDA,Paraíba,São José de Espinharas,Estadual,Urbana,21,471.96,441.26,491.19,467.5,533.33,481.05
14234,25016105,EEEFM DEPUTADO LEVI OLIMPIO FERREIRA,Paraíba,São Bentinho,Estadual,Urbana,27,446.63,447.63,481.14,489.5,540,480.98
14249,25094742,EEEFM PROFESSORA MARIA JACY COSTA,Paraíba,João Pessoa,Estadual,Urbana,15,495.95,460.16,496.09,464.37,488,480.91
14268,25059017,EEEF TARGINO PEREIRA CEPES AN1,Paraíba,Araruna,Estadual,Urbana,20,459.21,424.75,483.5,461.56,575,480.8
14281,25093932,ECIT DAURA SANTIAGO RANGEL,Paraíba,João Pessoa,Estadual,Urbana,39,454.21,432.83,482.83,464.08,569.74,480.74
14295,25094025,EEEFM TENENTE LUCENA,Paraíba,João Pessoa,Estadual,Urbana,37,469.26,436.44,495.21,471.03,531.35,480.66
14325,25094777,EEEFM PROF¬ DEBORA DUARTE,Paraíba,João Pessoa,Estadual,Urbana,50,469.41,426.04,489.85,468.82,548.4,480.51
14334,25115049,EEEF PROF PAULO FREIRE,Paraíba,João Pessoa,Estadual,Urbana,76,478.72,442.5,501.65,473.38,506.05,480.46
14347,25019740,EEEM MARIA MOREIRA PINTO,Paraíba,Vieirópolis,Estadual,Urbana,26,457.4,426.23,474.19,475.58,568.46,480.37
14391,25076582,EEEFM IRMA JOAQUINA SAMPAIO,Paraíba,Campina Grande,Estadual,Urbana,18,474.52,441.32,472.95,464.39,547.78,480.19
14396,25070088,EEEFM SILVIO PORTO,Paraíba,Pilõezinhos,Estadual,Urbana,12,479.03,441.4,502.15,454.9,523.33,480.16
14404,25097091,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO AUDIOCOMUNICACAO,Paraíba,João Pessoa,Estadual,Urbana,10,468.5,399.37,486.7,496.11,550,480.14
14443,25050427,EEEFM JOAO ROGERIO D TOLEDO,Paraíba,Assunção,Estadual,Urbana,20,458.56,438.85,494.01,479.23,529,479.93
14462,25090887,ECI PROF ANTONIO GOMES,Paraíba,Bayeux,Estadual,Urbana,42,485.25,437.26,480.31,470.62,525.71,479.83
14468,25005995,EEEFM PROF¬ FRANCISCA FONSECA MATIAS,Paraíba,Poço de José de Moura,Estadual,Urbana,43,476.84,439.34,492.09,467.03,523.72,479.8
14484,25015885,EEEFM JOAO DA MATA,Paraíba,Pombal,Estadual,Urbana,15,484.74,447.28,476.81,504.34,485.33,479.7
14500,25089820,EEEFM GENTIL LINS,Paraíba,Sapé,Estadual,Urbana,128,471.31,431.19,484.13,466.13,545.31,479.61
14508,25086324,EEEFM MARGARIDA DIAS,Paraíba,Pedro Régis,Estadual,Urbana,22,462.52,436.11,476.11,466.72,556.36,479.57
14519,25064134,ECITE MINISTRO JOSE AMERICO DE ALMEIDA,Paraíba,Areia,Estadual,Urbana,23,473.52,432.49,486.28,446.07,559.13,479.5
14533,25003844,EEEFM JOAO SILVEIRA GUIMARAES,Paraíba,São Bento,Estadual,Urbana,117,466.47,436.72,486.64,478.65,528.72,479.44
14547,25043897,EEEFM CICERO DOS ANJOS,Paraíba,Seridó,Estadual,Urbana,42,462.53,436.79,471.6,470.61,555.24,479.35
14592,25062638,EEEFM PADRE HILDON BANDEIRA,Paraíba,Alagoa Grande,Estadual,Urbana,84,455.58,439.31,483.07,476.62,540.95,479.11
14603,25070703,CAIC JOSE JOFILLY,Paraíba,Campina Grande,Estadual,Urbana,63,461.22,427.35,477.71,472.37,556.51,479.03
14613,25010565,EEEFM PREF¦ JOAQUIM LACERDA LEITE,Paraíba,São José de Piranhas,Estadual,Urbana,26,473.07,438.1,484.63,482.89,516.15,478.97
14618,25089781,ECI MONSENHOR ODILON ALVES PEDROSA,Paraíba,Sapé,Estadual,Urbana,59,475.28,430.12,491.86,472.34,525.08,478.94
14624,25054023,EEEFM DEP ALVARO G QUEIROZ,Paraíba,Santo André,Estadual,Urbana,22,461.39,433.51,497.7,460.14,541.82,478.91
14646,25078569,EEEF SEVERIANO PEDRO DO NASCIMENTO,Paraíba,Puxinanã,Estadual,Rural,40,485.75,454.86,492.69,465,495.5,478.76
14655,25068342,EEEFM JOAO DE FREITAS MOUZINHO,Paraíba,Sertãozinho,Estadual,Urbana,33,481.08,452.88,476.2,469.38,513.94,478.7
14696,25089552,EEEFM MARIA LINS,Paraíba,São Miguel de Taipu,Estadual,Urbana,22,454.92,437.54,470.95,467.15,561.82,478.47
14757,25081888,EEEFM JOSE R DE ATAIDE,Paraíba,Itatuba,Estadual,Urbana,33,474.79,440.68,469.55,467.52,538.18,478.15
14769,25016059,EEEFM MARIA SOLEDADE ASSIS FREITAS,Paraíba,Cajazeirinhas,Estadual,Urbana,21,465,436.15,472.78,450.54,565.71,478.04
14807,25051296,EEE FUNDAMENTAL E MEDIO MELQUIADES TEJO,Paraíba,Barra de São Miguel,Estadual,Urbana,10,484.4,447.65,478.05,484.85,494,477.79
14811,25012207,EEEFM BERNARDINO JOSE BATISTA,Paraíba,Triunfo,Estadual,Urbana,41,459.29,431.23,487.86,455.38,555.12,477.78
14837,25043269,EEEM SEVERINO GREGORIO DANTAS,Paraíba,Picuí,Estadual,Rural,17,465.22,446,495.57,494.06,487.06,477.58
14852,25100033,ECIT RENATO RIBEIRO COUTINHO,Paraíba,Alhandra,Estadual,Urbana,106,466.1,432.72,480.81,463.4,544.53,477.51
14879,25001477,EEEFM PROF¬ DIVA GUEDES DE ARAUJO,Paraíba,Brejo dos Santos,Estadual,Urbana,35,470.15,425.93,487.66,468.83,534.29,477.37
14888,25090879,EEEFM ENG JOSE DAVILA LINS,Paraíba,Bayeux,Estadual,Urbana,74,460.25,434.65,494.22,466.39,531.08,477.32
14917,25060406,EEEFM ARLINDO RAMALHO,Paraíba,Solânea,Estadual,Urbana,41,464.81,436.12,483.87,466.51,534.63,477.19
14936,25094050,ECI LUIZ GONZAGA DE ALBUQUERQUE BURITY,Paraíba,João Pessoa,Estadual,Urbana,30,489.48,441.51,504.29,474.07,476,477.07
14957,25094181,ESCOLA CIDADA INTEGRAL ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO PAPA PAULO VI,Paraíba,João Pessoa,Estadual,Urbana,101,473.33,438.56,493.51,467.74,511.68,476.97
14972,25070312,ECI AUGUSTO DE ALMEIDA,Paraíba,Pirpirituba,Estadual,Urbana,26,451.63,430.4,485.31,498.61,518.46,476.88
15005,25078992,EEEFM FRANCISCO E DO REGO,Paraíba,Queimadas,Estadual,Urbana,129,462.02,428.81,479.33,464.31,548.99,476.69
15052,25037781,EEEFM ANTONIO MOACIR DANTAS CAVALCANTI,Paraíba,Maturéia,Estadual,Urbana,28,473.21,427.85,484.56,469.96,526.43,476.4
15097,25054180,EEEFM JORNALISTA JOSE LEAL RAMOS,Paraíba,São João do Cariri,Estadual,Urbana,34,462.36,437.23,492.17,471.35,517.65,476.15
15128,25023896,ECI JOSELITA BRASILEIRO,Paraíba,Igaracy,Estadual,Urbana,62,456.32,414.28,459.98,478.09,571.29,475.99
15138,25033786,EEEFM GERTRUDES LEITE,Paraíba,Desterro,Estadual,Urbana,39,471.58,423.23,484.38,471.12,529.23,475.91
15139,25094203,ECI DOM JOSE MARIA PIRES,Paraíba,João Pessoa,Estadual,Urbana,27,466.67,435.02,483.89,465.08,528.89,475.91
15148,25084526,EEEFM DR FRANCISCO DE ALBUQUERQUE MONTENEGRO,Paraíba,Natuba,Estadual,Urbana,20,442.51,424.06,478.17,473.62,561,475.87
15219,25022296,EEEFM PROFESSOR JOAO NOBERTO,Paraíba,Santa Teresinha,Estadual,Urbana,27,480.65,446.43,481.43,483.64,485.19,475.47
15227,25037803,EEEFM SEBASTIAO GUEDES DA SILVA,Paraíba,Teixeira,Estadual,Urbana,59,468.4,438.22,476.91,488.45,505.08,475.41
15246,25078577,EEEF CONEGO ANTONIO GALDINO,Paraíba,Puxinanã,Estadual,Urbana,18,458.4,439.54,478.55,472.09,527.78,475.27
15303,25031481,EEEFM JOAO DE S PRIMO,Paraíba,Pedra Branca,Estadual,Urbana,30,458.59,427.63,466.1,490.06,532,474.88
15324,25117700,EEEF SEVERINO BARBOSA CAMELO,Paraíba,Boqueirão,Estadual,Urbana,64,466.51,425.7,471.4,472.79,537.5,474.78
15360,25055046,EEEFM JOSE LUIZ NETO,Paraíba,Barra de Santa Rosa,Estadual,Urbana,96,461.15,432.22,476.68,479.53,523.54,474.63
15382,25019813,EEEFM ALDO SATIRO XAVIER,Paraíba,Cacimba de Areia,Estadual,Urbana,26,467.01,436.8,489.45,483.84,495.38,474.5
15415,25018078,EEEF ANDRE GADELHA,Paraíba,Sousa,Estadual,Urbana,16,478.09,440.49,502.74,446.4,503.75,474.29
15436,25066374,ECIT E AGENOR CLEMENTE DOS SANTOS,Paraíba,Alagoinha,Estadual,Urbana,62,456.94,425.91,475.34,468.32,544.19,474.14
15437,25082493,EEEFM OTAVIA SILVEIRA,Paraíba,Mogeiro,Estadual,Urbana,44,455.59,440.61,473.09,456.86,544.55,474.14
15456,25025635,EEEFM JOAO LEITE NETO,Paraíba,Nova Olinda,Estadual,Urbana,41,453.24,428,459.39,494.95,534.63,474.04
15457,25049496,ECI JOSE GONCALVES DE QUEIROZ,Paraíba,Sumé,Estadual,Urbana,99,468.29,435.24,482.15,469.36,515.15,474.04
15462,25027174,EEEM DR FELIZARDO TEOTONIO DANTAS,Paraíba,Santana dos Garrotes,Estadual,Urbana,15,488.49,448.23,480.73,464.61,488,474.01
15493,25099299,EEEFM CARLOS CHAGAS,Paraíba,Santa Rita,Estadual,Urbana,136,461.64,437.58,492.82,470.36,506.62,473.81
15525,25027026,EEEM SANTO ANTONIO,Paraíba,Piancó,Estadual,Urbana,53,471.93,439.85,480.61,478.46,496.98,473.57
15539,25004883,ECIT CORONEL JACOB GUILHERME FRANTZ,Paraíba,São João do Rio do Peixe,Estadual,Urbana,54,463.94,439.65,478.48,477.92,507.41,473.48
15555,25114506,EEEFM PROF JOSE BAPTISTA DE MELLO,Paraíba,João Pessoa,Estadual,Urbana,52,474.4,446.72,483.14,460.75,501.92,473.39
15559,25080016,EEEFM DOM ADAUTO,Paraíba,Serra Redonda,Estadual,Urbana,25,459.91,411.88,473.88,471.53,549.6,473.36
15631,25087673,ECI HENRIQUE FERNANDES DE FARIAS,Paraíba,Curral de Cima,Estadual,Urbana,38,459.46,431.96,470.45,476.03,526.84,472.95
15644,25103563,EEEFM PROFESSOR JOSE GOMES ALVES,Paraíba,Patos,Estadual,Urbana,64,476.32,446.29,485,473.46,483.13,472.84
